points,,points_up,,points_down,,upper_lim,,fit_up,,fit_down,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
6820.824228922196,3.192883137688039e-8,6726.583876118498,5.38777331770046e-8,6773.540158595542,1.0667820520096112e-8,317329.5924960908,1.7257434619575996e-9,16160.664508168009,5.325278017749187e-8,16273.477303137579,3.097403969572309e-8
14660.984749610205,3.4004319174812027e-8,14559.350253441957,4.2551648644837636e-8,14559.350253441957,2.3110678408080606e-8,682082.4228922175,4.796437848140431e-9,39644.89858056457,3.258274484725398e-8,30015.210242221023,2.3270255503619543e-8
31294.518795080447,4.447869459647484e-8,31512.97652809733,5.2953987711327587e-8,31512.97652809733,3.689780776708204e-8,3151297.652809746,4.9242342712532695e-9,81730.98010646875,2.243688692982024e-8,62745.57182799641,1.6326645060486703e-8
68208.24228922203,1.956044339157369e-8,68208.24228922203,2.588868459631859e-8,67735.40158595542,1.432580325928741e-8,6820824.228922175,1.4535624643200846e-9,166166.62791506902,1.603846945365642e-8,129354.77870933556,1.1034596673879926e-8
145593.50253441988,2.0193022662526058e-8,145593.50253441927,2.5745526849544485e-8,145593.50253441927,1.5162293651681558e-8,14763328.725984031,7.721711011940033e-9,362169.92794903513,1.1183298739528598e-8,245317.25511984434,7.693234751590246e-9
1466098.4749610233,1.0990110855962729e-8,1466098.4749610233,1.7976623164269664e-8,1466098.4749610175,5.470492404588161e-9,31512976.52809733,1.3705135736887876e-8,658765.9111167322,8.507031847732464e-9,446217.7354062967,5.4306953415131886e-9
,,,,,,68208242.28922176,2.6707650436407257e-8,1165373.8181581695,6.634311410969579e-9,1006980.7027373505,3.32252403151187e-9
,,,,,,,,1793809.976402061,5.437512667065968e-9,1720479.6766124193,2.4194450721007705e-9
,,,,,,,,2575586.4577135397,4.597303408912106e-9,2593565.861149178,1.874846709356437e-9
